Scanning
Degree: 0  ADC Distance: 85.56
Degree: 2  ADC Distance: 79.20
Degree: 4  ADC Distance: 78.99
Degree: 6  ADC Distance: 80.27
Degree: 8  ADC Distance: 79.84
Degree: 10  ADC Distance: 83.89
Degree: 12  ADC Distance: 85.80
Degree: 14  ADC Distance: 236.18
Degree: 16  ADC Distance: 151.81
Degree: 18  ADC Distance: 429.54
Degree: 20  ADC Distance: 425.46
Degree: 22  ADC Distance: 425.46
Degree: 24  ADC Distance: 417.52
Degree: 26  ADC Distance: 417.52
Degree: 28  ADC Distance: 446.53
Degree: 30  ADC Distance: 421.46
Degree: 32  ADC Distance: 425.46
Degree: 34  ADC Distance: 94.00
Degree: 36  ADC Distance: 429.54
Degree: 38  ADC Distance: 425.46
Degree: 40  ADC Distance: 425.46
Degree: 42  ADC Distance: 446.53
Degree: 44  ADC Distance: 172.61
Degree: 46  ADC Distance: 413.64
Degree: 48  ADC Distance: 421.46
Degree: 50  ADC Distance: 429.54
Degree: 52  ADC Distance: 90.14
Degree: 54  ADC Distance: 446.53
Degree: 56  ADC Distance: 442.17
Degree: 58  ADC Distance: 421.46
Degree: 60  ADC Distance: 446.53
Degree: 62  ADC Distance: 124.46
Degree: 64  ADC Distance: 421.46
Degree: 66  ADC Distance: 429.54
Degree: 68  ADC Distance: 437.89
Degree: 70  ADC Distance: 95.45
Degree: 72  ADC Distance: 429.54
Degree: 74  ADC Distance: 446.53
Degree: 76  ADC Distance: 421.46
Degree: 78  ADC Distance: 417.52
Degree: 80  ADC Distance: 123.07
Degree: 82  ADC Distance: 442.17
Degree: 84  ADC Distance: 429.54
Degree: 86  ADC Distance: 166.18
Degree: 88  ADC Distance: 86.05
Degree: 90  ADC Distance: 446.53
Degree: 92  ADC Distance: 446.53
Degree: 94  ADC Distance: 421.46
Degree: 96  ADC Distance: 442.17
Degree: 98  ADC Distance: 96.05
Degree: 100  ADC Distance: 421.46
Degree: 102  ADC Distance: 421.46
Degree: 104  ADC Distance: 433.68
Degree: 106  ADC Distance: 433.68
Degree: 108  ADC Distance: 421.46
Degree: 110  ADC Distance: 421.46
Degree: 112  ADC Distance: 433.68
Degree: 114  ADC Distance: 421.46
Degree: 116  ADC Distance: 425.46
Degree: 118  ADC Distance: 95.45
Degree: 120  ADC Distance: 421.46
Degree: 122  ADC Distance: 421.46
Degree: 124  ADC Distance: 433.68
Degree: 126  ADC Distance: 417.52
Degree: 128  ADC Distance: 433.68
Degree: 130  ADC Distance: 123.53
Degree: 132  ADC Distance: 437.89
Degree: 134  ADC Distance: 417.52
Degree: 136  ADC Distance: 429.54
Degree: 138  ADC Distance: 425.46
Degree: 140  ADC Distance: 421.46
Degree: 142  ADC Distance: 429.54
Degree: 144  ADC Distance: 417.52
Degree: 146  ADC Distance: 413.64
Degree: 148  ADC Distance: 425.46
Degree: 150  ADC Distance: 429.54
Degree: 152  ADC Distance: 421.46
Degree: 154  ADC Distance: 421.46
Degree: 156  ADC Distance: 421.46
Degree: 158  ADC Distance: 425.46
Degree: 160  ADC Distance: 425.46
Degree: 162  ADC Distance: 442.17
Degree: 164  ADC Distance: 270.21
Degree: 166  ADC Distance: 89.34
Degree: 168  ADC Distance: 48.35
Degree: 170  ADC Distance: 89.34
Degree: 172  ADC Distance: 86.05
Degree: 174  ADC Distance: 87.04
Degree: 176  ADC Distance: 67.40
Degree: 178  ADC Distance: 158.71
Degree: 180  ADC Distance: 306.91
Object at 167 degrees has a distance of 41.52cm and width of 1.45cm
END
